Incident_ID,Incident_Date,State,City Or County,Address,Full Address,Latitude,Longitude,Killed,Injured,Operations,label_col
495225,1/29/2016,Pennsylvania,Philadelphia,550 N Broad St,Pennsylvania Philadelphia 550 N Broad St,39.9634896,-75.1621537,0,0,School Incidents,Killed: 0 Injured:0
494808,1/27/2016,Massachusetts,Boston,144 McBride Street,Massachusetts Boston 144 McBride Street,42.3062744,-71.1094333,0,0,School Incidents,Killed: 0 Injured:0
497349,1/27/2016,Missouri,Hazelwood,1 Wildcat Lane,Missouri Hazelwood 1 Wildcat Lane,38.7864278,-90.3823785,0,0,School Incidents,Killed: 0 Injured:0
495792,1/27/2016,Massachusetts,Boston,144 McBride St,Massachusetts Boston 144 McBride St,42.3062744,-71.1094333,0,0,School Incidents,Killed: 0 Injured:0
493616,1/26/2016,Illinois,Chicago,9241 S. Leavitt St,Illinois Chicago 9241 S. Leavitt St,41.7252061,-87.6768498,0,0,School Incidents,Killed: 0 Injured:0
492824,1/25/2016,Texas,Bryan,3450 Campus Drive,Texas Bryan 3450 Campus Drive,30.6554172,-96.3348711,0,0,School Incidents,Killed: 0 Injured:0
493624,1/25/2016,North Carolina,Winston Salem (Winston-salem),601 S Martin Luther King Jr Drive,North Carolina Winston Salem (Winston-salem) 601 S Martin Luther King Jr Drive,36.0915688,-80.2245285,0,0,School Incidents,Killed: 0 Injured:0
490812,1/23/2016,Massachusetts,Amherst,North Pleasant Street,Massachusetts Amherst North Pleasant Street,42.393046,-72.5257839,0,0,School Incidents,Killed: 0 Injured:0
497765,1/22/2016,Colorado,Center,550 S. Sylvester Avenue,Colorado Center 550 S. Sylvester Avenue,37.7511853,-106.1138981,0,0,School Incidents,Killed: 0 Injured:0
490723,1/22/2016,Indiana,Indianapolis (Lawrence),7300 E 56th St,Indiana Indianapolis (Lawrence) 7300 E 56th St,39.8558563,-86.0379112,0,1,School Incidents,Killed: 0 Injured:1
490864,1/22/2016,Indiana,Avon,N/A,Indiana Avon N/A,39.7628227,-86.3997167,0,0,School Incidents,Killed: 0 Injured:0
490688,1/22/2016,Georgia,Columbus,2892 Edgewood Road,Georgia Columbus 2892 Edgewood Road,32.4914882,-84.9478463,0,0,School Incidents,Killed: 0 Injured:0
491340,1/22/2016,Louisiana,Baton Rouge,1000 N. 23rd St,Louisiana Baton Rouge 1000 N. 23rd St,30.4606726,-91.1636936,0,0,School Incidents,Killed: 0 Injured:0
495823,1/22/2016,Michigan,Belleville,501 W Columbia Ave,Michigan Belleville 501 W Columbia Ave,42.2029189,-83.4931906,0,0,School Incidents,Killed: 0 Injured:0
489770,1/21/2016,Illinois,Round Lake,800 Panther Blvd,Illinois Round Lake 800 Panther Blvd,42.3628276,-88.0935871,0,0,School Incidents,Killed: 0 Injured:0
492039,1/21/2016,New Mexico,Lovington,700 S. 11th Street,New Mexico Lovington 700 S. 11th Street,32.9416193,-103.3624371,0,0,School Incidents,Killed: 0 Injured:0
490062,1/20/2016,Virginia,Gloucester,6680 Short Ln,Virginia Gloucester 6680 Short Ln,37.3806761,-76.5249781,0,0,School Incidents,Killed: 0 Injured:0
489507,1/20/2016,Connecticut,Stratford,150 Lincoln Street,Connecticut Stratford 150 Lincoln Street,41.2122063,-73.1399927,0,0,School Incidents,Killed: 0 Injured:0
494667,1/20/2016,Georgia,Grovetown,455 South Old Belair Road,Georgia Grovetown 455 South Old Belair Road,33.4839068,-82.1544501,0,0,School Incidents,Killed: 0 Injured:0
489826,1/20/2016,Iowa,Ames,Schilletter Village,Iowa Ames Schilletter Village,42.0440492,-93.6419526,0,0,School Incidents,Killed: 0 Injured:0
488420,1/19/2016,Washington,Seattle (Ballard),1810 NW 65th St,Washington Seattle (Ballard) 1810 NW 65th St,47.6765508,-122.3804837,0,0,School Incidents,Killed: 0 Injured:0
488917,1/19/2016,Indiana,Plainfield,1 Red Pride Drive,Indiana Plainfield 1 Red Pride Drive,39.6822359,-86.3785364,0,0,School Incidents,Killed: 0 Injured:0
493176,1/19/2016,Mississippi,Monticello,1570 W Broad St.,Mississippi Monticello 1570 W Broad St.,31.5605774,-90.1239816,0,0,School Incidents,Killed: 0 Injured:0
489399,1/19/2016,Florida,Jacksonville,1200 McDuff Avenue South,Florida Jacksonville 1200 McDuff Avenue South,30.3070089,-81.703901,0,0,School Incidents,Killed: 0 Injured:0
486309,1/15/2016,Tennessee,Nashville,4820 Franklin Rd,Tennessee Nashville 4820 Franklin Rd,36.0792242,-86.7686604,0,0,School Incidents,Killed: 0 Injured:0
486177,1/15/2016,Maryland,Hyattsville,6100 Editors Park Dr,Maryland Hyattsville 6100 Editors Park Dr,38.9642827,-76.9607954,0,0,School Incidents,Killed: 0 Injured:0
489067,1/14/2016,South Dakota,Sioux Falls,2900 S. Cliff Avenue,South Dakota Sioux Falls 2900 S. Cliff Avenue,43.5186737,-96.7090989,0,0,School Incidents,Killed: 0 Injured:0
485195,1/14/2016,Georgia,Lagrange,516 North Greenwood Street,Georgia Lagrange 516 North Greenwood Street,33.0451581,-85.0336377,0,0,School Incidents,Killed: 0 Injured:0
485597,1/14/2016,Maryland,Baltimore,200 North Lakewood Avenue,Maryland Baltimore 200 North Lakewood Avenue,39.2953732,-76.5796397,0,0,School Incidents,Killed: 0 Injured:0
484698,1/13/2016,Indiana,Whiteland (New Whiteland),900 Sawmill Rd,Indiana Whiteland (New Whiteland) 900 Sawmill Rd,39.563263,-86.1028011,0,0,School Incidents,Killed: 0 Injured:0
484629,1/13/2016,South Carolina,North Augusta,2000 Knobcone Avenue,South Carolina North Augusta 2000 Knobcone Avenue,33.5364301,-81.9722637,0,0,School Incidents,Killed: 0 Injured:0
484812,1/13/2016,New Hampshire,Epping,233 Exeter Road,New Hampshire Epping 233 Exeter Road,43.0217532,-71.0382159,0,1,School Incidents,Killed: 0 Injured:1
485871,1/13/2016,Kansas,Abilene,500 N.W. 14th Street,Kansas Abilene 500 N.W. 14th Street,38.9290124,-97.2216367,0,0,School Incidents,Killed: 0 Injured:0
488212,1/13/2016,Georgia,Athens,College Station Road,Georgia Athens College Station Road,33.9286305,-83.3563791,0,0,School Incidents,Killed: 0 Injured:0
485036,1/13/2016,Arkansas,Camden,401 Ouachita 88,Arkansas Camden 401 Ouachita 88,33.5370551,-92.820845,0,1,School Incidents,Killed: 0 Injured:1
485590,1/13/2016,Florida,Hollywood,6800 Arthur Street,Florida Hollywood 6800 Arthur Street,26.0191239,-80.225487,0,0,School Incidents,Killed: 0 Injured:0
484781,1/13/2016,Indiana,Fort Wayne,4625 Werling Drive,Indiana Fort Wayne 4625 Werling Drive,41.0395508,-85.1053426,0,0,School Incidents,Killed: 0 Injured:0
484540,1/13/2016,California,Arcata,Harpst St and Rossow St,California Arcata Harpst St and Rossow St,40.8741927,-124.0796454,0,1,School Incidents,Killed: 0 Injured:1
484383,1/12/2016,Delaware,Dover,211 Delaware Avenue,Delaware Dover 211 Delaware Avenue,39.1644127,-75.5230752,0,0,School Incidents,Killed: 0 Injured:0
485740,1/12/2016,North Carolina,Rocky Mount,4230 Green Hills Rd.,North Carolina Rocky Mount 4230 Green Hills Rd.,35.9985335,-77.8915679,0,0,School Incidents,Killed: 0 Injured:0
488913,1/11/2016,Iowa,Sioux City,2101 Outer Drive N.,Iowa Sioux City 2101 Outer Drive N.,42.5429603,-96.3856216,0,0,School Incidents,Killed: 0 Injured:0
484633,1/11/2016,Tennessee,Nashville,Haywood Lane and Apache Trail,Tennessee Nashville Haywood Lane and Apache Trail,36.0695256,-86.6939253,0,0,School Incidents,Killed: 0 Injured:0
484160,1/8/2016,Tennessee,Murfreesboro,3956 Blaze Dr,Tennessee Murfreesboro 3956 Blaze Dr,35.8572316,-86.4736943,0,0,School Incidents,Killed: 0 Injured:0
482513,1/8/2016,Florida,Loxahatchee (Loxahatchee Groves),16020 Okeechobee Blvd,Florida Loxahatchee (Loxahatchee Groves) 16020 Okeechobee Blvd,26.7046142,-80.3006789,0,0,School Incidents,Killed: 0 Injured:0
481727,1/8/2016,Wisconsin,Boyceville,1003 Tiffany Street,Wisconsin Boyceville 1003 Tiffany Street,45.046174,-92.0381608,0,0,School Incidents,Killed: 0 Injured:0
483922,1/8/2016,Georgia,Norman Park,105 Darbyshire Road,Georgia Norman Park 105 Darbyshire Road,31.2041722,-83.7588347,0,0,School Incidents,Killed: 0 Injured:0
481943,1/8/2016,Indiana,New Washington,408 E 1st St,Indiana New Washington 408 E 1st St,38.563454,-85.537711,0,0,School Incidents,Killed: 0 Injured:0
481877,1/7/2016,South Carolina,Chester,835 C Lancaster Hwy,South Carolina Chester 835 C Lancaster Hwy,34.713497,-81.1774198,0,0,School Incidents,Killed: 0 Injured:0
480915,1/7/2016,Illinois,Collinsville,2201 S Morrison Ave,Illinois Collinsville 2201 S Morrison Ave,38.6469412,-90.0139726,0,0,School Incidents,Killed: 0 Injured:0
480789,1/7/2016,Ohio,Dayton (Centerville),650 E Lytle 5 Points Rd,Ohio Dayton (Centerville) 650 E Lytle 5 Points Rd,39.5695948,-84.179532,0,0,School Incidents,Killed: 0 Injured:0
483665,1/7/2016,Louisiana,Lafayette,200 18th Street,Louisiana Lafayette 200 18th Street,30.2196407,-91.9995089,0,0,School Incidents,Killed: 0 Injured:0
483473,1/7/2016,Oklahoma,Coweta,14607 S. 305th E. Avenue,Oklahoma Coweta 14607 S. 305th E. Avenue,35.9484092,-95.6351986,0,0,School Incidents,Killed: 0 Injured:0
480085,1/6/2016,Illinois,Zion,22nd Street and Bethesda Boulevard,Illinois Zion 22nd Street and Bethesda Boulevard,42.4555769,-87.8340547,1,0,School Incidents,Killed: 1 Injured:0
480943,1/6/2016,Maryland,Annapolis,111 Dogwood Road,Maryland Annapolis 111 Dogwood Road,38.9534624,-76.4886347,0,0,School Incidents,Killed: 0 Injured:0
480489,1/6/2016,Illinois,Chicago,Bell Avenue and Argyle Street,Illinois Chicago Bell Avenue and Argyle Street,41.972301,-87.6853755,0,1,School Incidents,Killed: 0 Injured:1
480233,1/5/2016,Washington,Sumner,1707 W Main Street,Washington Sumner 1707 W Main Street,47.2022386,-122.2485749,0,0,School Incidents,Killed: 0 Injured:0
479214,1/4/2016,Georgia,Jeffersonville,375 Watson Drive,Georgia Jeffersonville 375 Watson Drive,32.6828177,-83.3581515,0,0,School Incidents,Killed: 0 Injured:0
480812,1/4/2016,Kentucky,Louisville,7201 Johnsontown Road,Kentucky Louisville 7201 Johnsontown Road,38.1171787,-85.8931511,0,0,School Incidents,Killed: 0 Injured:0
469354,12/20/2015,Virginia,Charlottesville,1400 block of University Avenue,Virginia Charlottesville 1400 block of University Avenue,38.0339357,-78.4999725,0,0,School Incidents,Killed: 0 Injured:0
467932,12/18/2015,Tennessee,Memphis,306 S Bellevue Blvd,Tennessee Memphis 306 S Bellevue Blvd,35.1338384,-90.0193115,0,0,School Incidents,Killed: 0 Injured:0
468567,12/18/2015,Wisconsin,Janesville,115 Milwaukee,Wisconsin Janesville 115 Milwaukee,42.6817942,-89.0252287,0,0,School Incidents,Killed: 0 Injured:0
468366,12/18/2015,Tennessee,Jackson,545 Lane Ave,Tennessee Jackson 545 Lane Ave,35.6281451,-88.8072012,0,0,School Incidents,Killed: 0 Injured:0
468095,12/18/2015,Wisconsin,Waterloo,813 North Monroe Street,Wisconsin Waterloo 813 North Monroe Street,43.1925365,-88.9920847,0,0,School Incidents,Killed: 0 Injured:0
467316,12/17/2015,Illinois,Neoga,E 7th St,Illinois Neoga E 7th St,39.3193113,-88.4476478,0,0,School Incidents,Killed: 0 Injured:0
467698,12/17/2015,New York,Brooklyn,6565 Flatlands Avenue,New York Brooklyn 6565 Flatlands Avenue,40.6336811,-73.9175196,0,0,School Incidents,Killed: 0 Injured:0
477997,12/16/2015,Missouri,Kansas City,5000 Oak Street,Missouri Kansas City 5000 Oak Street,39.037285,-94.5832805,0,0,School Incidents,Killed: 0 Injured:0
467509,12/16/2015,Washington,Seattle,2600 SW Thistle St,Washington Seattle 2600 SW Thistle St,47.5299694,-122.3657388,0,0,School Incidents,Killed: 0 Injured:0
466816,12/16/2015,Tennessee,Millington,4964 Cuba Millington Rd,Tennessee Millington 4964 Cuba Millington Rd,35.3515541,-89.8977203,0,0,School Incidents,Killed: 0 Injured:0
466311,12/15/2015,Georgia,Savannah,400 East Broad Street,Georgia Savannah 400 East Broad Street,32.070731,-81.085854,0,0,School Incidents,Killed: 0 Injured:0
466015,12/15/2015,Florida,Daytona Beach,2700 North Oleander Avenue,Florida Daytona Beach 2700 North Oleander Avenue,29.2674477,-81.0308675,0,0,School Incidents,Killed: 0 Injured:0
465653,12/14/2015,Georgia,Avondale Estates,8 Lakeshore Drive,Georgia Avondale Estates 8 Lakeshore Drive,33.7738825,-84.2611318,0,0,School Incidents,Killed: 0 Injured:0
465597,12/14/2015,Georgia,Bloomingdale,2451 Little Neck Road,Georgia Bloomingdale 2451 Little Neck Road,32.0745176,-81.3205154,0,0,School Incidents,Killed: 0 Injured:0
466851,12/14/2015,Florida,Saint Petersburg,850 34th Street South,Florida Saint Petersburg 850 34th Street South,27.7612137,-82.6780903,0,0,School Incidents,Killed: 0 Injured:0
465253,12/14/2015,New York,Canastota,200 High Street,New York Canastota 200 High Street,43.0743795,-75.748687,0,0,School Incidents,Killed: 0 Injured:0
463960,12/12/2015,Washington,Federal Way,30611 16th Ave S,Washington Federal Way 30611 16th Ave S,47.3278756,-122.3139878,0,0,School Incidents,Killed: 0 Injured:0
486089,12/11/2015,Washington,Federal Way,30611 16th Ave S,Washington Federal Way 30611 16th Ave S,47.3278756,-122.3139878,0,0,School Incidents,Killed: 0 Injured:0
463986,12/11/2015,North Carolina,Wilmington,2700 N College Rd.,North Carolina Wilmington 2700 N College Rd.,34.2976897,-77.8721896,0,0,School Incidents,Killed: 0 Injured:0
462874,12/10/2015,West Virginia,Dunbar,2401 Myers Ave,West Virginia Dunbar 2401 Myers Ave,38.3616753,-81.7543467,0,0,School Incidents,Killed: 0 Injured:0
462851,12/10/2015,Missouri,Moscow Mills,80 Elm Tree Road,Missouri Moscow Mills 80 Elm Tree Road,38.9401904,-90.9316865,0,0,School Incidents,Killed: 0 Injured:0
463456,12/10/2015,Florida,Bradenton,1200 37th Ave E,Florida Bradenton 1200 37th Ave E,27.4680267,-82.5521034,0,0,School Incidents,Killed: 0 Injured:0
463231,12/10/2015,Arkansas,Jonesboro,N Caraway Rd,Arkansas Jonesboro N Caraway Rd,35.8491518,-90.6769419,0,0,School Incidents,Killed: 0 Injured:0
463042,12/10/2015,Kentucky,Louisville,5400 block of Valley Station Rd,Kentucky Louisville 5400 block of Valley Station Rd,38.1056586,-85.8639291,0,0,School Incidents,Killed: 0 Injured:0
462334,12/9/2015,Texas,Austin,3001 S Congress Ave,Texas Austin 3001 S Congress Ave,30.2315177,-97.7566899,0,0,School Incidents,Killed: 0 Injured:0
462691,12/9/2015,Florida,Panama City Beach,300 Nautilus Street,Florida Panama City Beach 300 Nautilus Street,30.2083423,-85.8520324,0,0,School Incidents,Killed: 0 Injured:0
467614,12/9/2015,Missouri,Camdenton,N/A,Missouri Camdenton N/A,38.0080902,-92.7446289,0,0,School Incidents,Killed: 0 Injured:0
463006,12/9/2015,Kansas,Wichita,301 S. Meridian,Kansas Wichita 301 S. Meridian,37.6799624,-97.3721257,0,0,School Incidents,Killed: 0 Injured:0
464262,12/8/2015,Virginia,Petersburg,3101 Johnson Rd,Virginia Petersburg 3101 Johnson Rd,37.1842595,-77.3992103,0,0,School Incidents,Killed: 0 Injured:0
486086,12/8/2015,Washington,Shelton,3737 N Shelton Springs Rd,Washington Shelton 3737 N Shelton Springs Rd,47.2363742,-123.1229193,0,0,School Incidents,Killed: 0 Injured:0
461530,12/8/2015,Ohio,Dayton (Centerville),500 E Franklin St,Ohio Dayton (Centerville) 500 E Franklin St,39.6269909,-84.1482953,0,0,School Incidents,Killed: 0 Injured:0
462213,12/8/2015,New York,Kendall,16887 Roosevelt Highway,New York Kendall 16887 Roosevelt Highway,43.3192424,-78.0243548,0,0,School Incidents,Killed: 0 Injured:0
463034,12/8/2015,Tennessee,Blountville,131 Shipley Ferry Rd,Tennessee Blountville 131 Shipley Ferry Rd,36.5289245,-82.3868627,0,0,School Incidents,Killed: 0 Injured:0
463038,12/8/2015,Virginia,Hampton,1636 Briarfield Rd,Virginia Hampton 1636 Briarfield Rd,37.018604,-76.398092,0,0,School Incidents,Killed: 0 Injured:0
505994,12/4/2015,Illinois,Lincolnshire,1 Stevenson Dr,Illinois Lincolnshire 1 Stevenson Dr,42.1991338,-87.9472657,0,0,School Incidents,Killed: 0 Injured:0
460666,12/4/2015,Kansas,Wichita,820 S. Osage Street,Kansas Wichita 820 S. Osage Street,37.673559,-97.3469296,0,1,School Incidents,Killed: 0 Injured:1
